鼠标和键盘移动记录 - ../2_Log/print_log_20230917_012126.txt
Release(key=Key.enter)
Move(x=631, y=494)
Move(x=632, y=494)
Move(x=632, y=493)
Move(x=634, y=493)
Move(x=642, y=491)
Move(x=651, y=488)
Move(x=655, y=486)
Move(x=659, y=484)
Move(x=663, y=482)
Move(x=669, y=479)
Move(x=675, y=477)
Move(x=682, y=474)
Move(x=689, y=473)
Move(x=695, y=472)
Move(x=700, y=471)
Move(x=704, y=471)
Move(x=710, y=471)
Move(x=715, y=471)
Move(x=721, y=471)
Move(x=729, y=473)
Move(x=739, y=479)
Move(x=749, y=485)
Move(x=759, y=492)
Move(x=767, y=499)
Move(x=777, y=507)
Move(x=786, y=515)
Move(x=794, y=522)
Move(x=802, y=530)
Move(x=812, y=537)
Move(x=821, y=543)
Move(x=830, y=547)
Move(x=838, y=553)
Move(x=848, y=557)
Move(x=858, y=561)
Move(x=867, y=566)
Move(x=878, y=569)
Move(x=888, y=572)
Move(x=898, y=574)
Move(x=908, y=577)
Move(x=918, y=579)
Move(x=929, y=580)
Move(x=938, y=582)
Move(x=949, y=584)
Move(x=959, y=587)
Move(x=968, y=591)
Move(x=977, y=595)
Move(x=985, y=599)
Move(x=994, y=601)
Move(x=1002, y=602)
Move(x=1007, y=602)
Move(x=1014, y=602)
Move(x=1017, y=601)
Move(x=1019, y=601)
Move(x=1019, y=601)
Move(x=1020, y=602)
Move(x=1023, y=605)
Move(x=1028, y=607)
Move(x=1034, y=609)
Move(x=1043, y=612)
Move(x=1054, y=616)
Move(x=1064, y=618)
Move(x=1075, y=619)
Move(x=1085, y=621)
Move(x=1094, y=622)
Move(x=1101, y=623)
Move(x=1109, y=624)
Move(x=1115, y=624)
Move(x=1124, y=626)
Move(x=1132, y=627)
Move(x=1139, y=628)
Move(x=1145, y=628)
Move(x=1151, y=629)
Move(x=1162, y=630)
Move(x=1168, y=631)
Move(x=1171, y=632)
Move(x=1174, y=632)
Move(x=1175, y=632)
Move(x=1176, y=632)
Move(x=1177, y=632)
Move(x=1179, y=632)
Move(x=1181, y=632)
Move(x=1185, y=632)
Move(x=1188, y=631)
Move(x=1193, y=627)
Move(x=1198, y=623)
Move(x=1202, y=616)
Move(x=1206, y=609)
Move(x=1209, y=598)
Move(x=1211, y=586)
Move(x=1212, y=571)
Move(x=1212, y=557)
Move(x=1212, y=541)
Move(x=1212, y=526)
Move(x=1212, y=498)
Move(x=1212, y=484)
Move(x=1212, y=471)
Move(x=1212, y=456)
Move(x=1212, y=441)
Move(x=1213, y=429)
Move(x=1214, y=416)
Move(x=1216, y=403)
Move(x=1219, y=376)
Move(x=1223, y=364)
Move(x=1224, y=353)
Move(x=1225, y=342)
Move(x=1225, y=333)
Move(x=1225, y=322)
Move(x=1227, y=301)
Move(x=1228, y=291)
Move(x=1229, y=281)
